[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/backends/signals.py first seen with mtime 1649369061.1415749
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/template/loader.py first seen with mtime 1649369061.2591512
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/models/sql/constants.py first seen with mtime 1649369061.1995153
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/uu.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/auth/tokens.py first seen with mtime 1649369059.5807297
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/base64mime.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/importlib/machinery.py first seen with mtime 1613742517.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/forms/__init__.py first seen with mtime 1649369061.204294
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/utils/translation/__init__.py first seen with mtime 1649369061.3013253
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/__init__.py first seen with mtime 1649369081.8573558
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1649369061.1957238
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/middleware/common.py first seen with mtime 1649369061.251106
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/utils/dateformat.py first seen with mtime 1649369061.2808886
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/chardet/langthaimodel.py first seen with mtime 1649370761.5301156
